name,g6,n,edges,alpha,theta_primal,theta_dual,theta_scs,certified_ub,certified_lb,lb_edge_residual,rank_X,d_star_bm,onr_value,onr_max_edge_overlap,visibility,gap
n8_QuadC5,GCQb`o,8,10,3,3.4678437298402804,3.4678437298403555,3.4678437332848606,3.4678437302081138,3.467843729678058,8.97106149882859e-12,4,,3.46784372981955,8.214101621106806e-11,0.681271432149533,0.46784372984028044
n8_Wagner,GCrb`o,8,12,3,3.4142135623807937,3.414213562375203,3.414213565456537,3.414213562375626,3.4142135623758305,1.0292429712332023e-13,4,,3.4142135623758327,8.233969062132473e-13,0.7071067811826982,0.41421356238079365
n9_max,HCRbdO{,9,15,3,3.666666666666779,3.6666666666667282,3.6666666625731805,3.666666667210575,3.666666666660033,4.111328113843122e-13,4,,3.6666666666659573,4.191675435569198e-12,0.5294117647058404,0.6666666666667789
n10_max,ICRb`yiu?,10,20,3,3.7071067811866065,3.70710678118657,3.707106780782034,3.7071067812252982,3.7071067811215657,1.7766306244355353e-12,4,,3.707106781207871,5.039768602443928e-11,0.41421356237307483,0.7071067811866065
n11_max,J?`D@pgd?{?,11,17,4,4.774888532746173,4.774888532746111,4.774888544687522,4.774888533384197,4.77488853267623,1.4814607873562732e-12,4,,4.7748885327577515,1.7797596729707266e-11,0.6173179312269294,0.7748885327461732
n11_rank2,J?`@f?kUDG_,11,17,4,4.754686044856877,4.754686044857071,4.754686055847662,4.754686045128758,4.754686044797338,1.2759020665341233e-12,4,,4.754686044857419,2.2530207018522398e-11,0.6235390340581948,0.7546860448568768
n12_tf_max,K?`DA`gd?{Dg,12,20,4,4.930021465668901,4.930021465668659,4.930021476121277,4.930021466696806,4.930021465451655,4.0234418972232395e-12,5,,4.9300214656533745,8.845163490533992e-11,0.6324057015765213,0.9300214656689008
n13_C13_1_5,L?`DE`gl@YJODg,13,26,4,5.181736625422665,5.181736625421499,5.181736622396448,5.1817366254217685,5.181736625421086,5.021797288538875e-15,5,,5.181736625421086,6.483702463810914e-14,0.5422706507759293,1.1817366254226647
R36_n16_max,OoC?Igi_?E_eKcRCE@iO[,16,35,5,6.465350298585337,6.465350298585392,6.465350287318488,6.465350299799308,6.465350297126745,1.5597207442288762e-11,5,,6.465350298534579,3.388781477653424e-10,0.5512425422717503,1.4653502985853368
R36_n17_max,P@oGQA?`ACcdCtDYC]Ah?goC,17,40,5,6.606663834844371,6.60666383484431,6.6066638347255555,6.606663840161999,6.606663834171926,4.7486453282575484e-12,6,,6.606663834787676,1.6737305985614626e-10,0.574205377927807,1.6066638348443707
R37_n22_max,UsaC?GGC?DccQDCpKEJAOKW`Bo?kD_[_okHCUR??,22,66,6,8.398747394617844,8.39874739462815,8.39874743423458,8.398747399377896,8.398747394221562,1.801650478543401e-12,6,,8.398747394599134,7.238942778542423e-11,0.49308823485426534,2.3987473946178444
