n,k,S,degree,alpha,theta,gap,formula,formula_matches,edge_transitive_mult,mult_group_size,iso_dup
13,5,1 5,4,4,5.1817366256,1.1817366256,5.1817366254,True,True,4,False
13,5,2 3,4,4,5.1817366256,1.1817366256,5.1817366254,True,True,4,True
13,5,4 6,4,4,5.1817366256,1.1817366256,5.1817366254,True,True,4,True
16,6,1 3 8,5,5,6.1647844034,1.1647844034,6.7118506507,False,False,2,False
16,6,1 5 8,5,5,6.1647844034,1.1647844034,6.7118506507,False,False,2,True
16,6,3 7 8,5,5,6.1647844034,1.1647844034,6.7118506507,False,False,2,True
16,6,5 7 8,5,5,6.1647844034,1.1647844034,6.7118506507,False,False,2,True
21,7,1 3 8,6,6,7.7559766297,1.7559766297,8.4613358093,False,False,4,False
21,7,1 4 6,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
21,7,1 5 9,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
21,7,2 3 10,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
21,7,2 5 6,6,6,7.7559766297,1.7559766297,8.4613358093,False,False,4,True
21,7,2 8 9,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
21,7,3 4 5,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
21,7,4 9 10,6,6,7.7559766297,1.7559766297,8.4613358093,False,False,4,True
21,7,6 8 10,6,6,7.9767798429,1.9767798429,8.4613358093,False,False,2,True
35,9,1 7 11 16,8,8,12.4105856483,4.4105856483,12.4979487114,False,False,6,False
35,9,2 3 13 14,8,8,12.4105856483,4.4105856483,12.4979487114,False,False,6,True
35,9,4 6 7 9,8,8,12.4105856483,4.4105856483,12.4979487114,False,False,6,True
35,9,8 12 14 17,8,8,12.4105856483,4.4105856483,12.4979487114,False,False,6,True
