gap,theta,alpha,edges,triangles,edge_list
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 5), (1, 7), (1, 10), (2, 6), (2, 9), (3, 7), (3, 9), (3, 10), (4, 8), (4, 10), (5, 9), (5, 11), (6, 11), (7, 8), (8, 11)]"
0.93002147,4.93002147,4,20,0,"[(0, 6), (0, 7), (0, 11), (1, 2), (1, 6), (1, 8), (1, 11), (2, 4), (2, 5), (2, 7), (3, 5), (3, 10), (3, 11), (4, 9), (4, 10), (5, 6), (5, 9), (6, 10), (7, 8), (8, 9)]"
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 6), (0, 9), (1, 5), (1, 7), (1, 8), (2, 6), (2, 8), (2, 11), (3, 7), (3, 9), (3, 10), (4, 8), (4, 10), (4, 11), (5, 9), (5, 10), (5, 11), (6, 10), (7, 11)]"
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 6), (0, 9), (1, 5), (1, 7), (1, 8), (2, 6), (2, 8), (2, 11), (3, 7), (3, 8), (3, 9), (3, 10), (4, 8), (4, 10), (4, 11), (5, 9), (5, 10), (6, 10), (7, 11)]"
0.93002147,4.93002147,4,20,0,"[(0, 7), (0, 10), (0, 11), (1, 5), (1, 6), (1, 7), (1, 8), (2, 4), (2, 6), (2, 7), (2, 10), (3, 6), (3, 8), (3, 9), (4, 8), (4, 11), (5, 9), (5, 10), (6, 11), (7, 9)]"
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 6), (0, 9), (1, 5), (1, 7), (1, 8), (2, 6), (2, 8), (2, 9), (2, 11), (3, 7), (3, 9), (3, 10), (4, 8), (4, 11), (5, 9), (5, 10), (5, 11), (6, 10), (7, 11)]"
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 6), (0, 9), (1, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 8), (2, 11), (3, 7), (3, 9), (3, 10), (4, 8), (4, 10), (5, 9), (5, 10), (5, 11), (6, 10), (7, 11)]"
0.93002147,4.93002147,4,20,0,"[(0, 6), (0, 8), (0, 11), (1, 3), (1, 4), (1, 5), (1, 6), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (3, 10), (4, 7), (4, 9), (5, 9), (5, 11), (6, 10), (7, 11), (9, 10)]"
0.93002147,4.93002147,4,20,0,"[(0, 4), (0, 6), (0, 8), (0, 11), (1, 3), (1, 6), (1, 9), (2, 6), (2, 7), (2, 8), (3, 8), (3, 10), (4, 7), (4, 9), (4, 10), (5, 9), (5, 10), (5, 11), (7, 11), (8, 9)]"
0.93002147,4.93002147,4,20,0,"[(0, 3), (0, 9), (0, 10), (1, 4), (1, 5), (1, 6), (2, 6), (2, 8), (2, 10), (3, 6), (3, 7), (3, 8), (4, 7), (4, 8), (4, 9), (5, 8), (5, 11), (7, 10), (7, 11), (9, 11)]"
