g6,edges,alpha,theta,gap,ratio,status
ICRb`yiu?,20,3,3.7071067827,0.7071067827,1.2357022609,Solved
ICQeR`[Mg,19,3,3.6671550571,0.6671550571,1.222385019,Solved
ICRbdO{xG,20,3,3.6666666716,0.6666666716,1.2222222239,Solved
ICRbdO{v_,21,3,3.6666666714,0.6666666714,1.2222222238,Solved
ICRbdO{z_,21,3,3.6666666708,0.6666666708,1.2222222236,Solved
ICRbcqhNO,20,3,3.6666666706,0.6666666706,1.2222222235,Solved
ICRbdO{lg,21,3,3.6666666701,0.6666666701,1.2222222234,Solved
ICRbdO{~o,23,3,3.6666666693,0.6666666693,1.2222222231,Solved
ICRbdO{|o,22,3,3.6666666691,0.6666666691,1.222222223,Solved
ICRbdO{lG,20,3,3.6666666691,0.6666666691,1.222222223,Solved
ICRbdO{|g,22,3,3.666666669,0.666666669,1.222222223,Solved
ICRbdO{zg,22,3,3.666666669,0.666666669,1.222222223,Solved
ICRbdO{~g,23,3,3.6666666688,0.6666666688,1.2222222229,Solved
ICRbdO{xo,21,3,3.6666666687,0.6666666687,1.2222222229,Solved
ICRbdO{u_,20,3,3.6666666686,0.6666666686,1.2222222229,Solved
ICRbdO{~w,24,3,3.6666666686,0.6666666686,1.2222222229,Solved
ICQ`fP[r_,19,3,3.6666666686,0.6666666686,1.2222222229,Solved
ICRbcqhN?,19,3,3.6666666685,0.6666666685,1.2222222228,Solved
ICRbdO{x_,20,3,3.6666666684,0.6666666684,1.2222222228,Solved
ICRbdO{\_,20,3,3.6666666682,0.6666666682,1.2222222227,Solved
ICRbdO{uo,21,3,3.666666668,0.666666668,1.2222222227,Solved
ICRbdO{|G,21,3,3.6666666678,0.6666666678,1.2222222226,Solved
ICRbdO{^_,21,3,3.6666666677,0.6666666677,1.2222222226,Solved
ICRbdO{{_,20,3,3.6666666676,0.6666666676,1.2222222225,Solved
ICRbdO{}o,22,3,3.6666666675,0.6666666675,1.2222222225,Solved
ICRbdO{~G,22,3,3.6666666674,0.6666666674,1.2222222225,Solved
ICRbdO{|_,21,3,3.6666666673,0.6666666673,1.2222222224,Solved
ICRbdO{}_,21,3,3.6666666671,0.6666666671,1.2222222224,Solved
ICRbdO{~_,22,3,3.6666666671,0.6666666671,1.2222222224,Solved
ICQbfP[r_,20,3,3.6666666669,0.6666666669,1.2222222223,Solved
ICRb`yi}?,21,3,3.6364049387,0.6364049387,1.2121349796,Solved
ICQbfP[MW,20,3,3.6272019194,0.6272019194,1.2090673065,Solved
ICQbdp[r_,20,3,3.6180934541,0.6180934541,1.2060311514,Solved
ICR`szot_,21,3,3.6180339945,0.6180339945,1.2060113315,Solved
ICpbfG{j_,21,3,3.618033994,0.618033994,1.2060113313,Solved
ICRb`yito,22,3,3.6180339938,0.6180339938,1.2060113313,Solved
ICRb`yi~w,25,3,3.6180339925,0.6180339925,1.2060113308,Solved
ICRb`yilw,23,3,3.6180339917,0.6180339917,1.2060113306,Solved
ICRb`yihw,22,3,3.6180339915,0.6180339915,1.2060113305,Solved
ICRb`yi~O,23,3,3.6180339915,0.6180339915,1.2060113305,Solved
ICRb`yiz_,22,3,3.6180339914,0.6180339914,1.2060113305,Solved
ICRb`yiHw,21,3,3.6180339914,0.6180339914,1.2060113305,Solved
ICRb`yido,21,3,3.6180339912,0.6180339912,1.2060113304,Solved
ICRb`yi|_,22,3,3.6180339911,0.6180339911,1.2060113304,Solved
