g6,edges,alpha,theta,gap,ratio,theta_ub,status
J?`D@pgd?{?,17,4,4.7748885329,0.7748885329,1.1937221332,4.78322752,Solved
J?`@f?kUDG_,17,4,4.7546860451,0.7546860451,1.1886715113,4.76679714,Solved
J?`@f@WFTH?,18,4,4.7536641916,0.7536641916,1.1884160479,4.76363362,Solved
J?`FBQoFCi?,18,4,4.7524190311,0.7524190311,1.1881047578,4.76443881,Solved
J?`@f@Wl?y?,18,4,4.7473773333,0.7473773333,1.1868443333,4.76048801,Solved
JCRbeo{ifI?,25,3,3.7355049048,0.7355049048,1.2451683016,3.74663954,Solved
J?`FAqSFf_?,19,4,4.7343377065,0.7343377065,1.1835844266,4.74557904,Solved
J?`FAosFdI?,19,4,4.7256881371,0.7256881371,1.1814220343,4.73809462,Solved
J?`DD`gD`s?,17,4,4.7191791422,0.7191791422,1.1797947856,4.73711829,Solved
JCRbeo{ifM?,26,3,3.7128995568,0.7128995568,1.2376331856,3.72244913,Solved
J?`D@pgd?t?,17,4,4.7119765094,0.7119765094,1.1779941274,4.73081405,Solved
J?`D@pgd?|?,18,4,4.7094710238,0.7094710238,1.1773677559,4.73083612,Solved
J?`DB_sU?}?,18,4,4.7089063197,0.7089063197,1.1772265799,4.72729760,Solved
JCQe`psyQ]?,24,3,3.7071600840,0.7071600840,1.2357200280,3.71872341,Solved
JCRbeo{if}?,28,3,3.7071067864,0.7071067864,1.2357022621,3.71491699,Solved
JCRbeo{if~_,30,3,3.7071067863,0.7071067863,1.2357022621,3.71555877,Solved
JCRbeo{ie|?,27,3,3.7071067862,0.7071067862,1.2357022621,3.71548854,Solved
JCRbeo{ify?,27,3,3.7071067861,0.7071067861,1.2357022620,3.71480806,Solved
JCRbeo{ieh?,25,3,3.7071067860,0.7071067860,1.2357022620,3.71571753,Solved
JCRbeo{ie~?,28,3,3.7071067860,0.7071067860,1.2357022620,3.71501333,Solved
JCRbeo{iex?,26,3,3.7071067858,0.7071067858,1.2357022619,3.71478777,Solved
JCRbeo{if^?,28,3,3.7071067853,0.7071067853,1.2357022618,3.71545486,Solved
JCRbeo{ifm?,27,3,3.7071067845,0.7071067845,1.2357022615,3.71523554,Solved
JCRbeo{iem?,26,3,3.7071067845,0.7071067845,1.2357022615,3.71512192,Solved
JCRbeo{iei?,25,3,3.7071067841,0.7071067841,1.2357022614,3.71496547,Solved
JCRbeo{ifl?,27,3,3.7071067840,0.7071067840,1.2357022613,3.71511802,Solved
JCRbeo{idl?,26,3,3.7071067839,0.7071067839,1.2357022613,3.71484738,Solved
JCRbeo{ib]?,26,3,3.7071067835,0.7071067835,1.2357022612,3.71498694,Solved
JCRbeo{ie]?,26,3,3.7071067834,0.7071067834,1.2357022611,3.71491488,Solved
JCRbeo{iez?,27,3,3.7071067834,0.7071067834,1.2357022611,3.71498081,Solved
JCRbeo{ifq?,26,3,3.7071067834,0.7071067834,1.2357022611,3.71529984,Solved
JCRbeo{ia]?,25,3,3.7071067832,0.7071067832,1.2357022611,3.71689441,Solved
JCRbeo{ifn?,28,3,3.7071067831,0.7071067831,1.2357022610,3.71520915,Solved
JCRbeo{ie|_,28,3,3.7071067830,0.7071067830,1.2357022610,3.71464835,Solved
JCRbeo{ie\?,26,3,3.7071067829,0.7071067829,1.2357022610,3.71582808,Solved
JCRbeo{ifi?,26,3,3.7071067827,0.7071067827,1.2357022609,3.71508519,Solved
JCRbeo{ifx?,27,3,3.7071067826,0.7071067826,1.2357022609,3.71507576,Solved
JCRbeo{ifj?,27,3,3.7071067826,0.7071067826,1.2357022609,3.71485320,Solved
JCRbeo{idh?,25,3,3.7071067826,0.7071067826,1.2357022609,3.71540919,Solved
JCRbeo{ieq?,25,3,3.7071067825,0.7071067825,1.2357022608,3.71629459,Solved
JCRbeo{ifh?,26,3,3.7071067823,0.7071067823,1.2357022608,3.71522459,Solved
JCRbeo{if\?,27,3,3.7071067823,0.7071067823,1.2357022608,3.71524289,Solved
JCRbeo{if|?,28,3,3.7071067823,0.7071067823,1.2357022608,3.71499126,Solved
JCRbeo{idj?,26,3,3.7071067820,0.7071067820,1.2357022607,3.71496032,Solved
JCRbeo{iey?,26,3,3.7071067818,0.7071067818,1.2357022606,3.71479960,Solved
JCRbeo{if|_,29,3,3.7071067815,0.7071067815,1.2357022605,3.71471661,Solved
JCRbeo{iel?,26,3,3.7071067815,0.7071067815,1.2357022605,3.71549891,Solved
JCRbeo{ifz?,28,3,3.7071067815,0.7071067815,1.2357022605,3.71534516,Solved
JCRbeo{if]?,27,3,3.7071067815,0.7071067815,1.2357022605,3.71466364,Solved
JCRbeo{if~?,29,3,3.7071067814,0.7071067814,1.2357022605,3.71478423,Solved
JCRbeo{ie}?,27,3,3.7071067800,0.7071067800,1.2357022600,3.71510057,Solved
JCQe`psjfM?,25,3,3.7036188317,0.7036188317,1.2345396106,3.71636140,Solved
J?`DB`gd?{?,17,4,4.7004203746,0.7004203746,1.1751050936,4.73830166,Solved
J?`D@POd?{?,15,4,4.7004203669,0.7004203669,1.1751050917,4.71218835,Solved
J?`DA`gd?{?,16,4,4.7004203655,0.7004203655,1.1751050914,4.72632051,Solved
J?`Df?wFBS?,18,4,4.6996129889,0.6996129889,1.1749032472,4.71292305,Solved
J?`DA`gL@Y?,16,4,4.6987195784,0.6987195784,1.1746798946,4.71424426,Solved
J?`DD`gD`w?,17,4,4.6987088977,0.6987088977,1.1746772244,4.73484388,Solved
J?`DE`gJAs?,17,4,4.6981201260,0.6981201260,1.1745300315,4.72212937,Solved
J?`DD_wU`Y?,18,4,4.6981132598,0.6981132598,1.1745283150,4.71440875,Solved
J?`Df@WFDH?,18,4,4.6980544027,0.6980544027,1.1745136007,4.73230763,Solved
JCRbdO{xbm?,26,3,3.6979226265,0.6979226265,1.2326408755,3.71045495,Solved
J?`DE`gL@Y?,17,4,4.6974001488,0.6974001488,1.1743500372,4.71488228,Solved
J?`Df@WL?y?,18,4,4.6973240157,0.6973240157,1.1743310039,4.74363750,Solved
J?`DE`gl@Y?,18,4,4.6964316220,0.6964316220,1.1741079055,4.72276887,Solved
J?b@d`gNAU?,19,4,4.6962315885,0.6962315885,1.1740578971,4.72309066,Solved
J?`DE_wFAs?,17,4,4.6953287141,0.6953287141,1.1738321785,4.71875144,Solved
J?`DE_wNAs?,18,4,4.6953287116,0.6953287116,1.1738321779,4.72407013,Solved
J?`Df@WFCh?,18,4,4.6949479402,0.6949479402,1.1737369851,4.70876947,Solved
J?`@C`WN?{?,16,4,4.6943622893,0.6943622893,1.1735905723,4.70827095,Solved
J?`@f@WFTh?,19,4,4.6937504291,0.6937504291,1.1734376073,4.70999194,Solved
J?`DD`gU_l?,18,4,4.6901491830,0.6901491830,1.1725372958,4.71828338,Solved
J?`FAqcFbo?,19,4,4.6880416625,0.6880416625,1.1720104156,4.72020525,Solved
J?`afAS]?y?,19,4,4.6855032285,0.6855032285,1.1713758071,4.70864766,Solved
J?`FAosl?{?,19,4,4.6855032266,0.6855032266,1.1713758067,4.71218169,Solved
J?`DD_wS_{?,17,4,4.6737864552,0.6737864552,1.1684466138,4.70856292,Solved
J?`D@poFdg?,18,4,4.6735437629,0.6735437629,1.1683859407,4.71768140,Solved
J?`D@roU`w?,19,4,4.6734943614,0.6734943614,1.1683735904,4.71164967,Solved
J?`@E`Wd@y?,17,4,4.6666666746,0.6666666746,1.1666666686,4.72057965,Solved
J?`DD_wS`Q_,17,4,4.6666666734,0.6666666734,1.1666666683,4.72822101,Solved
J?`@E`wl@y?,19,4,4.6666666727,0.6666666727,1.1666666682,4.71159295,Solved
J?`FBQcJci?,19,4,4.6666666723,0.6666666723,1.1666666681,4.73693792,Solved
J?`FAqcJBP?,18,4,4.6666666718,0.6666666718,1.1666666680,4.71827207,Solved
J?`DE_wJQs_,19,4,4.6666666711,0.6666666711,1.1666666678,4.71791400,Solved
J?`D@RoUee?,19,4,4.6666666710,0.6666666710,1.1666666677,4.71757144,Solved
J?`DD_wSbQ_,18,4,4.6666666704,0.6666666704,1.1666666676,4.72454039,Solved
J?`FBQcJew?,20,4,4.6666666701,0.6666666701,1.1666666675,4.70743914,Solved
J?`@F_{]Dg_,20,4,4.6666666700,0.6666666700,1.1666666675,4.70982485,Solved
J?`@E_[]Ck_,18,4,4.6666666698,0.6666666698,1.1666666675,4.72779216,Solved
J?`DD_wS`Y_,18,4,4.6666666697,0.6666666697,1.1666666674,4.71920171,Solved
J?`FE_wUbQ_,20,4,4.6666666697,0.6666666697,1.1666666674,4.71605544,Solved
J?`DD`gUed?,19,4,4.6666666695,0.6666666695,1.1666666674,4.71802225,Solved
J?`@E`Wl@y?,18,4,4.6666666694,0.6666666694,1.1666666673,4.72290187,Solved
J?`DD`gUcd?,18,4,4.6666666693,0.6666666693,1.1666666673,4.73466464,Solved
J?`@E_[]Dg_,18,4,4.6666666688,0.6666666688,1.1666666672,4.72550901,Solved
J?`DBRoUee?,20,4,4.6666666681,0.6666666681,1.1666666670,4.71873261,Solved
J?`DE_wYQs_,19,4,4.6666666678,0.6666666678,1.1666666670,4.71736023,Solved
J?`@E_{]Dg_,19,4,4.6666666677,0.6666666677,1.1666666669,4.71948391,Solved
J?`FAos{?{?,19,4,4.6560581925,0.6560581925,1.1640145481,4.71226933,Solved
J?`DD`WN?{?,18,4,4.6374834040,0.6374834040,1.1593708510,4.70938963,Solved
