g6,edges,alpha,theta,gap,ratio,status
H????B~,8,8,7.9999999986,-0.0000000014,0.9999999998,Solved
H???CB},8,7,7.0000000033,0.0000000033,1.0000000005,Solved
H???CB~,9,7,7.0000000002,0.0000000002,1.0000000000,Solved
H???E?~,8,7,6.9999999997,-0.0000000003,1.0000000000,Solved
H???EA},8,7,6.9999999979,-0.0000000021,0.9999999997,Solved
H???EA~,9,7,7.0000000007,0.0000000007,1.0000000001,Solved
H???EB},9,7,7.0000000004,0.0000000004,1.0000000001,Solved
H???EB~,10,7,7.0000000007,0.0000000007,1.0000000001,Solved
H???F?^,8,7,6.9999999998,-0.0000000002,1.0000000000,Solved
H???FA],8,7,6.9999999998,-0.0000000002,1.0000000000,Solved
H???FA^,9,7,7.0000000003,0.0000000003,1.0000000000,Solved
H???FB],9,7,6.9999999993,-0.0000000007,0.9999999999,Solved
H???FB^,10,7,7.0000000017,0.0000000017,1.0000000002,Solved
H???FB},10,7,7.0000000031,0.0000000031,1.0000000004,Solved
H???FB~,11,7,7.0000000023,0.0000000023,1.0000000003,Solved
H???FaM,8,7,7.0000000000,0.0000000000,1.0000000000,Solved
H???FaN,9,7,6.9999999999,-0.0000000001,1.0000000000,Solved
H???FbM,9,7,7.0000000010,0.0000000010,1.0000000001,Solved
H???FbN,10,7,6.9999999994,-0.0000000006,0.9999999999,Solved
H???Fbm,10,7,7.0000000001,0.0000000001,1.0000000000,Solved
H???Fbn,11,7,7.0000000003,0.0000000003,1.0000000000,Solved
H???Fb},11,7,7.0000000016,0.0000000016,1.0000000002,Solved
H???Fb~,12,7,7.0000000002,0.0000000002,1.0000000000,Solved
H???Fre,10,7,7.0000000042,0.0000000042,1.0000000006,Solved
H???Frf,11,7,7.0000000000,0.0000000000,1.0000000000,Solved
H???Fru,11,7,7.0000000006,0.0000000006,1.0000000001,Solved
H???Frv,12,7,7.0000000002,0.0000000002,1.0000000000,Solved
H???Fr},12,7,7.0000000011,0.0000000011,1.0000000002,Solved
H???Fr~,13,7,7.0000000004,0.0000000004,1.0000000001,Solved
H???Fzy,12,7,6.9999999991,-0.0000000009,0.9999999999,Solved
H???Fzz,13,7,6.9999999979,-0.0000000021,0.9999999997,Solved
H???Fz},13,7,7.0000000004,0.0000000004,1.0000000001,Solved
H???Fz~,14,7,6.9999999998,-0.0000000002,1.0000000000,Solved
H???F~},14,7,6.9999999979,-0.0000000021,0.9999999997,Solved
H???F~~,15,7,6.9999999983,-0.0000000017,0.9999999998,Solved
H??CAB{,8,6,6.0000000010,0.0000000010,1.0000000002,Solved
H??CAB},9,6,6.0000000012,0.0000000012,1.0000000002,Solved
H??CAB~,10,6,6.0000000001,0.0000000001,1.0000000000,Solved
H??CBA\,8,6,6.0000000005,0.0000000005,1.0000000001,Solved
H??CBA^,9,6,6.0000000039,0.0000000039,1.0000000007,Solved
H??CBB[,8,6,5.9999999998,-0.0000000002,1.0000000000,Solved
H??CBB\,9,6,6.0000000003,0.0000000003,1.0000000001,Solved
H??CBB],9,6,6.0000000011,0.0000000011,1.0000000002,Solved
H??CBB^,10,6,6.0000000012,0.0000000012,1.0000000002,Solved
H??CBB{,9,6,6.0000000003,0.0000000003,1.0000000001,Solved
H??CBB|,10,6,6.0000000001,0.0000000001,1.0000000000,Solved
H??CBB},10,6,6.0000000018,0.0000000018,1.0000000003,Solved
H??CBB~,11,6,6.0000000082,0.0000000082,1.0000000014,Solved
H??CBaL,8,6,6.0000000003,0.0000000003,1.0000000001,Solved
H??CBaN,9,6,6.0000000004,0.0000000004,1.0000000001,Solved
H??CBbK,8,6,6.0000000002,0.0000000002,1.0000000000,Solved
H??CBbL,9,6,6.0000000025,0.0000000025,1.0000000004,Solved
H??CBbM,9,6,6.0000000040,0.0000000040,1.0000000007,Solved
H??CBbN,10,6,6.0000000004,0.0000000004,1.0000000001,Solved
H??CBbk,9,6,6.0000000001,0.0000000001,1.0000000000,Solved
H??CBbl,10,6,6.0000000017,0.0000000017,1.0000000003,Solved
H??CBbm,10,6,6.0000000008,0.0000000008,1.0000000001,Solved
H??CBbn,11,6,6.0000000003,0.0000000003,1.0000000000,Solved
H??CBb{,10,6,6.0000000068,0.0000000068,1.0000000011,Solved
H??CBb|,11,6,6.0000000005,0.0000000005,1.0000000001,Solved
H??CBb},11,6,6.0000000008,0.0000000008,1.0000000001,Solved
H??CBb~,12,6,6.0000000066,0.0000000066,1.0000000011,Solved
H??CBrE,9,6,6.0000000006,0.0000000006,1.0000000001,Solved
H??CBrF,10,6,6.0000000010,0.0000000010,1.0000000002,Solved
H??CBrc,9,6,6.0000000041,0.0000000041,1.0000000007,Solved
H??CBrd,10,6,6.0000000032,0.0000000032,1.0000000005,Solved
H??CBre,10,6,6.0000000006,0.0000000006,1.0000000001,Solved
H??CBrf,11,6,6.0000000005,0.0000000005,1.0000000001,Solved
H??CBrs,10,6,6.0000000028,0.0000000028,1.0000000005,Solved
H??CBrt,11,6,6.0000000004,0.0000000004,1.0000000001,Solved
H??CBru,11,6,6.0000000057,0.0000000057,1.0000000009,Solved
H??CBrv,12,6,6.0000000002,0.0000000002,1.0000000000,Solved
H??CBr{,11,6,6.0000000001,0.0000000001,1.0000000000,Solved
H??CBr|,12,6,6.0000000000,-0.0000000000,1.0000000000,Solved
H??CBr},12,6,6.0000000006,0.0000000006,1.0000000001,Solved
H??CBr~,13,6,6.0000000002,0.0000000002,1.0000000000,Solved
H??CBzq,11,6,6.0000000017,0.0000000017,1.0000000003,Solved
H??CBzr,12,6,6.0000000001,0.0000000001,1.0000000000,Solved
H??CBzw,11,6,6.0000000010,0.0000000010,1.0000000002,Solved
H??CBzx,12,6,6.0000000008,0.0000000008,1.0000000001,Solved
H??CBzy,12,6,6.0000000011,0.0000000011,1.0000000002,Solved
