g6,edges,alpha,theta,gap,ratio,status
L??G`@@\CTOw}?,22,5,5.5473711763,0.5473711763,1.1094742353,Solved
L??G`@@dSTKo}?,22,5,5.4563973256,0.4563973256,1.0912794651,Solved
L??G`@XgaIow}?,23,5,5.5439368783,0.5439368783,1.1087873757,Solved
L??G`@iTSMPW[B,24,5,5.5597576754,0.5597576754,1.1119515351,Solved
L??G`ACaqbKo]G,22,5,5.5319887685,0.5319887685,1.1063977537,Solved
L??G`ADaaako]G,22,5,5.5346289365,0.5346289365,1.1069257873,Solved
L??G`ADabTIi[K,24,5,5.6589809644,0.6589809644,1.1317961929,Solved
L??G`AEkAQgw]G,22,5,5.6640222391,0.6640222391,1.1328044478,Solved
L??G`AJTRKYGi_,23,5,5.5459765737,0.5459765737,1.1091953147,Solved
L??G`AJTRS[odQ,25,5,5.4401083021,0.4401083021,1.0880216604,Solved
L??G`AJdRKYGY_,23,5,5.5329359988,0.5329359988,1.1065871998,Solved
L??G`AJhaiYGY_,23,5,5.4799479250,0.4799479250,1.0959895850,Solved
L??G`AJhbKYGUO,23,5,5.6185029149,0.6185029149,1.1237005830,Solved
L??G`AiUQjSqpo,26,5,5.5609391918,0.5609391918,1.1121878384,Solved
L??G`AsQrSQhpo,25,5,5.5621895659,0.5621895659,1.1124379132,Solved
L??G`AsQtSIhpo,25,5,5.4979332849,0.4979332849,1.0995866570,Solved
L??G`BBiaiJGh_,23,5,5.5707952216,0.5707952216,1.1141590443,Solved
L??G`BBiaiQgY_,23,5,5.6555642616,0.6555642616,1.1311128523,Solved
L??G`BBiaiRGX_,23,5,5.5354344598,0.5354344598,1.1070868920,Solved
L??G`BBiaqQgX_,23,5,5.4330618961,0.4330618961,1.0866123792,Solved
L??G`CoPIPTQdQ,22,5,5.6459758383,0.6459758383,1.1291951677,Solved
L??G`CoPISOlmC,22,5,5.6459758407,0.6459758407,1.1291951681,Solved
L??G`CoPKHTQUQ,22,5,5.6646263868,0.6646263868,1.1329252774,Solved
L??G`CoPKKHLmC,22,5,5.6630191908,0.6630191908,1.1326038382,Solved
L??G`CoPYPOpm?,21,5,5.6336983526,0.6336983526,1.1267396705,Solved
L??G`CoQIJQai_,21,5,5.6867112135,0.6867112135,1.1373422427,Solved
L??G`CoQKKgkm@,22,5,5.6318891808,0.6318891808,1.1263778362,Solved
L??G`CoQQLOueQ,23,5,5.6338966101,0.6338966101,1.1267793220,Solved
L??G`CoQ[LTOTO,22,5,5.5874635047,0.5874635047,1.1174927009,Solved
L??G`CoQ[LTOTP,23,5,5.5837927753,0.5837927753,1.1167585551,Solved
L??G`CoQaLOmeQ,23,5,5.6602001046,0.6602001046,1.1320400209,Solved
L??G`CoQkiGki`,23,5,5.6501911880,0.6501911880,1.1300382376,Solved
L??G`CoYAgOmai,22,5,5.6745151687,0.6745151687,1.1349030337,Solved
L??G`Co`IJJAi_,21,5,5.6886633182,0.6886633182,1.1377326636,Solved
L??G`Co`ILHIm?,21,5,5.6091763158,0.6091763158,1.1218352632,Solved
L??G`Co`ISgkm@,22,5,5.6090027885,0.6090027885,1.1218005577,Solved
L??G`Co`QLHUeQ,23,5,5.6609496741,0.6609496741,1.1321899348,Solved
L??G`Co`YTTOTO,22,5,5.5744615546,0.5744615546,1.1148923109,Solved
L??G`Co`YTTOTP,23,5,5.5614497825,0.5614497825,1.1122899565,Solved
L??G`Co`aLHMeQ,23,5,5.6505459877,0.6505459877,1.1301091975,Solved
L??G`Co`iqGki`,23,5,5.6694297973,0.6694297973,1.1338859595,Solved
L??G`CoaYLTOTO,22,5,5.6197159913,0.6197159913,1.1239431983,Solved
L??G`CoaYLTOTP,23,5,5.6162222425,0.6162222425,1.1232444485,Solved
L??G`CoaiJJ?h@,21,5,5.5892281103,0.5892281103,1.1178456221,Solved
L??G`CoaiJQ_Y@,21,5,5.5614940279,0.5614940279,1.1122988056,Solved
L??G`CoaiJR?X@,21,5,5.6906139679,0.6906139679,1.1381227936,Solved
L??G`CohAgHMai,22,5,5.6742211386,0.6742211386,1.1348442277,Solved
L??G`CsO[SqgY_,22,5,5.5814610546,0.5814610546,1.1162922109,Solved
L??G`CsO[SqgY`,23,5,5.5780550908,0.5780550908,1.1156110182,Solved
L??G`CsO[SrGX_,22,5,5.6164891732,0.6164891732,1.1232978346,Solved
L??G`CsO[SrGX`,23,5,5.6064630532,0.6064630532,1.1212926106,Solved
L??G`CsPSaHTic,23,5,5.5948740637,0.5948740637,1.1189748127,Solved
L??G`CsQ[qWox_,24,5,5.5981911284,0.5981911284,1.1196382257,Solved
L??G`CsSQKPLic,23,5,5.6197143173,0.6197143173,1.1239428635,Solved
L??G`CsSSIHTic,23,5,5.5844749021,0.5844749021,1.1168949804,Solved
L??G`CsamRIix_,26,5,5.5626917851,0.5626917851,1.1125383570,Solved
L??G`CscQRGqi_,22,5,5.5537011508,0.5537011508,1.1107402302,Solved
L??G`CwOKQm_`c,21,5,5.5562915847,0.5562915847,1.1112583169,Solved
L??G`CwO[SqgX_,22,5,5.5326929926,0.5326929926,1.1065385985,Solved
L??G`CwPK_hHh_,21,5,5.6855918516,0.6855918516,1.1371183703,Solved
L??G`CwPYOU@`a,21,5,5.6921887713,0.6921887713,1.1384377543,Solved
L??G`CwP[qWox_,24,5,5.6060128281,0.6060128281,1.1212025656,Solved
L??G`CwQAKONlC,22,5,5.6095539485,0.6095539485,1.1219107897,Solved
L??G`CwQAKOmkE,22,5,5.6656946672,0.6656946672,1.1331389334,Solved
L??G`CwQAgONhc,22,5,5.5982611520,0.5982611520,1.1196522304,Solved
L??G`CwQCCgllC,22,5,5.6459549551,0.6459549551,1.1291909910,Solved
L??G`CwQC_glhc,22,5,5.6569291514,0.6569291514,1.1313858303,Solved
L??G`DAU@gOeaQ,20,5,5.6965692465,0.6965692465,1.1393138493,Solved
L??G`DCKASpEdO,20,5,5.6904076674,0.6904076674,1.1380815335,Solved
L??G`DCKASrC`S,20,5,5.6649581533,0.6649581533,1.1329916307,Solved
L??G`DCKCPhQdP,21,5,5.6745151722,0.6745151722,1.1349030344,Solved
L??G`DCKCPoqUP,21,5,5.6745151672,0.6745151672,1.1349030334,Solved
L??G`DC`@_pTUS,21,5,5.6646263894,0.6646263894,1.1329252779,Solved
L??G`DC``_pDUO,20,5,5.6904076696,0.6904076696,1.1380815339,Solved
L??G`DDa`gH@k@,20,5,5.7105266776,0.7105266776,1.1421053355,Solved
L??G`DDeSTM`Xc,25,5,5.5993139105,0.5993139105,1.1198627821,Solved
L??G`DDeUKFDXc,25,5,5.5850675990,0.5850675990,1.1170135198,Solved
L??G`DG`[SM`[E,23,5,5.6530674427,0.6530674427,1.1306134885,Solved
L??G`DGabgOk[D,22,5,5.6596107804,0.6596107804,1.1319221561,Solved
L??G`DHLAKOF]@,22,5,5.6167406769,0.6167406769,1.1233481354,Solved
L??G`DHP`oE__N,21,5,5.6392526586,0.6392526586,1.1278505317,Solved
L??G`DgTCJPQ[B,23,5,5.6721838132,0.6721838132,1.1344367626,Solved
L??G`E?QXhGs]?,21,5,5.6167406717,0.6167406717,1.1233481343,Solved
L??G`E?QXhGs}?,22,5,5.5040680147,0.5040680147,1.1008136029,Solved
L??G`E?paREc]G,22,5,5.5401724689,0.5401724689,1.1080344938,Solved
L??G`EApQPE`]G,22,5,5.5406537887,0.5406537887,1.1081307577,Solved
L??G`ECoaREa]G,22,5,5.6293907409,0.6293907409,1.1258781482,Solved
L??G`ECqaBE`]G,22,5,5.5883508188,0.5883508188,1.1176701638,Solved
L??G`EDaAKn?[K,22,5,5.6150974354,0.6150974354,1.1230194871,Solved
L??G`EG`QhLO[K,22,5,5.6781143606,0.6781143606,1.1356228721,Solved
