g6,n,edges,alpha,theta,gap,ratio,status
THoGG?JODHsOADs_wg?`GgSCZ??ig@@D@?GT,21,56,6,8.1413145985,2.1413145985,1.3568857664,Solved
THOXK_J?Mc?JhHsCTAAI_C?gADLO_?E?S?gp,21,57,6,8.1392489786,2.1392489786,1.3565414964,Solved
THoGG?JODHsOATs_wg?`GgSCZ??ig@@D@?GT,21,57,6,8.1360791444,2.1360791444,1.3560131907,Solved
THoWC_HSdHsOPPADQ?@?FPGCf??@DIAR?Q?J,21,56,6,8.1357608993,2.1357608993,1.3559601499,Solved
THOXK_J?Mc?JhHsCTAAI_C?gADLO_GE?S?gp,21,58,6,8.1344473224,2.1344473224,1.3557412204,Solved
THOHI_J@Gc?JOch@sA?oD?IWd?MCGs@OiWAC,21,57,6,8.1341371426,2.1341371426,1.3556895238,Solved
THoGG?JOCHsOADs_wg?`HgSCZ??ig@@D@?GT,21,56,6,8.1311580669,2.1311580669,1.3551930112,Solved
THOXK_J?AC@JhHsCT?AI_CAmgWAG`CCGS?`p,21,58,6,8.1303532482,2.1303532482,1.3550588747,Solved
THOXK_J?AC@JhHsCT?AI_CAmgWAG`CCGC?hp,21,58,6,8.1300360193,2.1300360193,1.3550060032,Solved
THOXK_J?AC@JhHscD?AI_CAmgWAI`CCGSOg_,21,58,6,8.1299230543,2.1299230543,1.3549871757,Solved
THoWC_JSdHsOPPh_?AY`HOq?g?C_CGI_G?Cj,21,57,6,8.1295289008,2.1295289008,1.3549214835,Solved
THO\M?geAC_hsGI??YGBQ_@PCOWs?p?GKCg`,21,57,6,8.1293772979,2.1293772979,1.3548962163,Solved
THoOC_JSdGcOPPATGX@@Ec?Ke@MG?_ODG?cJ,21,57,6,8.1285767368,2.1285767368,1.3547627895,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAG`?CGC?`p,21,57,6,8.1285316831,2.1285316831,1.3547552805,Solved
THoWM_JOd@oO?@HSg_OsC_?[GSGIOlC@COcH,21,57,6,8.1282165224,2.1282165224,1.3547027537,Solved
THOGK_JSdHsOADc??ChCEOQGdOa@AMG@_Y?I,21,56,6,8.1280420231,2.1280420231,1.3546736705,Solved
THOXK_J?IC@JhHsCT?AI_CAmgWAG`?CGC?hp,21,58,6,8.1280118166,2.1280118166,1.3546686361,Solved
THOWC_JSdHsOADc??ChCEOQGdO_@EMG@_Y?I,21,56,6,8.1279627994,2.1279627994,1.3546604666,Solved
THoGG?JOCHsOATs_wg?`HgSCZ??ig@@D@?GT,21,57,6,8.1276155838,2.1276155838,1.3546025973,Solved
