g6,n,edges,alpha,theta,gap,ratio,status
UsaC?GGC?DccQDCpKEJAOKW`Bo?kD_[_okHCUR??,22,66,6,8.3987474028,2.3987474028,1.3997912338,Solved
UsaC?GAAWb@`CcIAiAiHAGoL`e?x?Ou?`cI@Wd?_,22,66,6,8.3102492946,2.3102492946,1.3850415491,Solved
Ur_XACG?WG?PE@OgCH[GeAEO@cOGh?DSAO?NW?Bo,22,60,6,8.2916941892,2.2916941892,1.3819490315,Solved
U??QT?cEGGaC?rOCOCSCYBOWq@aQWJ_@aKB@wBA?,22,61,6,8.2824088477,2.2824088477,1.3804014746,Solved
U`?GOL_cD?I?aGG`aHPAK`GOQGYO`qGbGH{?@n??,22,62,6,8.2770154998,2.2770154998,1.3795025833,Solved
U?GaCORT?@W?AH@RCB_IDC_YARCWOV?SOYKO[?D_,22,61,6,8.2752038480,2.2752038480,1.3792006413,Solved
U?OOcGhW_@W?@bCR?c_E@I?qGPeCPS_ookKO[?d?,22,61,6,8.2730370238,2.2730370238,1.3788395040,Solved
U?@G`CGA?B?bcH_gGIXDGqAESGuB_@oICsPGWe_?,22,62,6,8.2697259848,2.2697259848,1.3782876641,Solved
U?@OcPgGo@W?@bADAHaC?I?iOW]CQSHB_kKOKOs?,22,61,6,8.2689075848,2.2689075848,1.3781512641,Solved
U?@OcPgGo@W?AD?rABaC@I?YEGM_SSHE_kKOKOd?,22,61,6,8.2688014472,2.2688014472,1.3781335745,Solved
U?CsAS@?S@?rI?SAeB?LDGgQCQIOHL@aDGWWsH_?,22,62,6,8.2685469972,2.2685469972,1.3780911662,Solved
U?@G`CG@?CsA`I_SH@_adOhQgG]D_@oEDPk?LGW?,22,62,6,8.2659172712,2.2659172712,1.3776528785,Solved
U?D_GG_AOSOLCWCdObR?QQGXOoCSClAOXaU?cwC?,22,63,6,8.2658388570,2.2658388570,1.3776398095,Solved
UqGOGS@?_G@@Q?`?cHOcJGi_PTJ@iC`s@GwO`LG?,22,62,6,8.2651774979,2.2651774979,1.3775295830,Solved
U?O_ko@?OHGB_`cAE@OW`IEaOcXPIAHeBAOaWgS?,22,62,6,8.2637943997,2.2637943997,1.3772990666,Solved
U`?H?_EAWG`CCGGCk@c_Wa_hD@YSCcIBDQL?gR_?,22,61,6,8.2637007242,2.2637007242,1.3772834540,Solved
U?F`aT?G?_@@CCAGWBL@KaMAOs?Iq_LL?`JCO`q?,22,62,6,8.2613941216,2.2613941216,1.3768990203,Solved
U?N?@CQO@?GDA`@M@GmCPgd@PBL@c?kPCTQOa]??,22,63,6,8.2613809499,2.2613809499,1.3768968250,Solved
UqGOGS@?_O?`Q?`?cGocRGh_PXJ@iC`sAGsOPMG?,22,62,6,8.2605717212,2.2605717212,1.3767619535,Solved
U?D_GG_AWSOLCOCdObR?QQGpO_cSClAOXaU?cwC?,22,63,6,8.2602775065,2.2602775065,1.3767129177,Solved
U`?IC?OG?_C@QH`EdWGmCah@DWKPoaHh?ZS?Hy??,22,64,6,8.2593366943,2.2593366943,1.3765561157,Solved
UsaC?_G?oHaOB@HPGSWN?QR?oqHo`aoQ`bI?XL??,22,66,6,8.2579440985,2.2579440985,1.3763240164,Solved
U??GjO@?kAe@GaPAHAD?a_hGSaooEQPKao`_pD?_,22,62,6,8.2564738694,2.2564738694,1.3760789782,Solved
U?CaKO?AGO?HWCCWoTOgh_ePgcKhKBBO_qS?pAOG,22,62,6,8.2564262428,2.2564262428,1.3760710405,Solved
U?Sc?KOG?A_OALIBOGWghOkPoCcgSRDOb@s?bI@?,22,62,6,8.2560792387,2.2560792387,1.3760132065,Solved
U??OZO@CGHOIKBH@GOd?pEAXGWAPEdH@IQ`Coca?,22,62,6,8.2553744815,2.2553744815,1.3758957469,Solved
U?LC?K_O?A_OKDWBOGWdaQHGKSdGOqdOIPs?bI_?,22,62,6,8.2548560250,2.2548560250,1.3758093375,Solved
U??PUG??X?@d_eBESAaGD_gPOSGqOqdPAg_S[Go?,22,62,6,8.2538672673,2.2538672673,1.3756445445,Solved
UQ???C_CHGacI`EQDi?|?_SdA`iJCCKa@HK@ab?_,22,63,6,8.2535994265,2.2535994265,1.3755999044,Solved
U?U_?dAC@?@O@eAO_ekcPWcP`ES`WT@a@DK@a]??,22,63,6,8.2535877786,2.2535877786,1.3755979631,Solved
U??PUG??gOCKSD_bPA`GoP?YGaXaoTHS@Qg_UGS?,22,62,6,8.2526831386,2.2526831386,1.3754471898,Solved
UqGOGS@?_O?`Q?`?cGocRGi_PTJ@iC`sAGsOPMG?,22,62,6,8.2525319791,2.2525319791,1.3754219965,Solved
UqGOGS@?_G@@Q?`?cHOcJGh_PXJ@iC`s@GwO`LG?,22,62,6,8.2523268119,2.2523268119,1.3753878020,Solved
