g6,alpha,theta_ub
ICQ`fP[r_,3,3.67747813
ICQbfP[r_,3,3.67631657
ICQeR`[Mg,3,3.67862133
ICRb`yiu?,3,3.71531059
ICRbcqhN?,3,3.67478829
ICRbcqhNO,3,3.67568214
ICRbdO{\_,3,3.67506624
ICRbdO{^_,3,3.67458769
ICRbdO{lG,3,3.67576520
ICRbdO{lg,3,3.67533051
ICRbdO{u_,3,3.67522206
ICRbdO{uo,3,3.67577680
ICRbdO{v_,3,3.67566503
ICRbdO{xG,3,3.67616522
ICRbdO{x_,3,3.67605151
ICRbdO{xo,3,3.67512169
ICRbdO{z_,3,3.67480124
ICRbdO{zg,3,3.67509374
ICRbdO{{_,3,3.67524429
ICRbdO{|G,3,3.67502096
ICRbdO{|_,3,3.67473142
ICRbdO{|g,3,3.67491227
ICRbdO{|o,3,3.67560510
ICRbdO{}_,3,3.67487659
ICRbdO{}o,3,3.67535021
ICRbdO{~G,3,3.67520655
ICRbdO{~_,3,3.67502563
ICRbdO{~g,3,3.67528634
ICRbdO{~o,3,3.67489929
ICRbdO{~w,3,3.67631117
