g6,alpha,theta_ub
JCRbeo{ieq?,3,3.71629459
JCRbeo{ifI?,3,3.74663954
JCRbeo{iei?,3,3.71496547
JCRbeo{ia]?,3,3.71689441
JCRbeo{ieh?,3,3.71571753
JCRbeo{idh?,3,3.71540919
JCRbeo{ifq?,3,3.71529984
JCRbeo{ifi?,3,3.71508519
JCRbeo{iey?,3,3.71479960
JCRbeo{ifM?,3,3.72244913
JCRbeo{iem?,3,3.71512192
JCRbeo{ie]?,3,3.71491488
JCRbeo{ib]?,3,3.71498694
JCRbeo{ifh?,3,3.71522459
JCRbeo{iex?,3,3.71478777
JCRbeo{iel?,3,3.71549891
JCRbeo{idl?,3,3.71484738
JCRbeo{ie\?,3,3.71582808
JCRbeo{idj?,3,3.71496032
JCRbeo{ify?,3,3.71480806
JCRbeo{ifm?,3,3.71523554
JCRbeo{if]?,3,3.71466364
JCRbeo{ie}?,3,3.71510057
JCRbeo{ifx?,3,3.71507576
JCRbeo{ifl?,3,3.71511802
JCRbeo{if\?,3,3.71524289
JCRbeo{ie|?,3,3.71548854
JCRbeo{ifj?,3,3.71485320
JCRbeo{iez?,3,3.71498081
JCRbeo{if}?,3,3.71491699
JCRbeo{if|?,3,3.71499126
JCRbeo{ifz?,3,3.71534516
JCRbeo{ifn?,3,3.71520915
JCRbeo{if^?,3,3.71545486
JCRbeo{ie~?,3,3.71501333
JCRbeo{ie|_,3,3.71464835
JCRbeo{if~?,3,3.71478423
JCRbeo{if|_,3,3.71471661
JCRbeo{if~_,3,3.71555877
