g6,edges,alpha,theta,gap,ratio,status
J???????F~_,10,10,9.9999999986,-0.0000000014,0.9999999999,Solved
J??????_F~?,10,9,9.0000000065,0.0000000065,1.0000000007,Solved
J??????oD~?,10,9,9.0000000006,0.0000000006,1.0000000001,Solved
J??????oF~?,11,9,9.0000000013,0.0000000013,1.0000000001,Solved
J??????o@~_,10,9,8.9999999999,-0.0000000001,1.0000000000,Solved
J??????wC~?,10,9,9.0000000014,0.0000000014,1.0000000002,Solved
J??????wE~?,11,9,9.0000000031,0.0000000031,1.0000000003,Solved
J??????wF~?,12,9,9.0000000003,0.0000000003,1.0000000000,Solved
J??????w?~_,10,9,8.9999999986,-0.0000000014,0.9999999998,Solved
J??????{C^?,10,9,9.0000000004,0.0000000004,1.0000000000,Solved
J??????{E^?,11,9,8.9999999998,-0.0000000002,1.0000000000,Solved
J??????{F^?,12,9,8.9999999992,-0.0000000008,0.9999999999,Solved
J??????{F~?,13,9,8.9999999991,-0.0000000009,0.9999999999,Solved
J??????{?^_,10,9,9.0000000003,0.0000000003,1.0000000000,Solved
J??????}CN?,10,9,9.0000000000,0.0000000000,1.0000000000,Solved
J??????}EN?,11,9,9.0000000011,0.0000000011,1.0000000001,Solved
J??????}FN?,12,9,9.0000000007,0.0000000007,1.0000000001,Solved
J??????}Fn?,13,9,9.0000000005,0.0000000005,1.0000000001,Solved
J??????}F~?,14,9,9.0000000011,0.0000000011,1.0000000001,Solved
J??????~FF?,12,9,9.0000000069,0.0000000069,1.0000000008,Solved
J??????~Ff?,13,9,9.0000000056,0.0000000056,1.0000000006,Solved
J??????~Fv?,14,9,9.0000000010,0.0000000010,1.0000000001,Solved
J??????~F~?,15,9,9.0000000031,0.0000000031,1.0000000003,Solved
J??????~fr?,14,9,9.0000000008,0.0000000008,1.0000000001,Solved
J??????~fz?,15,9,9.0000000054,0.0000000054,1.0000000006,Solved
J??????~f~?,16,9,9.0000000007,0.0000000007,1.0000000001,Solved
J??????~v|?,16,9,9.0000000003,0.0000000003,1.0000000000,Solved
