g6,alpha,theta_ub
L?AA@AODAOPOJg,5,5.78559886
L?AA@AODAODOao,5,5.74566150
L?AA@AODAODOeo,5,5.74064209
L?AA@AODAOTOEo,5,5.75738516
L?AA@AODAOTOeo,5,5.74516457
L?AA@AODAOTOBo,5,5.74943080
L?AA@AODAOTOFo,5,5.74342047
L?AA@AODAOTOBg,5,5.78927936
L?AA@AODAOTOJg,5,5.79426236
L?AA@AODAOROJg,5,5.75972170
L?AA@AODAOVOFo,5,5.74345779
L?AA@AODAOVOJg,5,5.75942314
L?AA@AODBODOeO,5,5.75757881
L?AA@AODBOTORO,5,5.74164988
L?AA@AODBOTOFO,5,5.76728870
L?AA@AODBOTOBg,5,5.80205208
L?AA@AODBOTOJg,5,5.80454084
L?AA@AODBOROVO,5,5.76341252
L?AA@AODBOROBg,5,5.77925490
L?AA@AODBOROJg,5,5.77244742
L?AA@AODBOVOJg,5,5.76517171
L?AA@AODFOTOZG,5,5.77335645
L?AA@AODFOFOZG,5,5.79916984
L?AA@AODFOVOZG,5,5.76874121
L?AA@AODFOVOJg,5,5.74144254
L?AA@AODFOVOIk,5,5.76362360
L?AA@AODFODoZG,5,5.79517730
L?AA@AODFOFoZG,5,5.79523174
L?AA@AODFOFoIk,5,5.75948493
L?AA@AODFODsZG,5,5.75528839
L?AA@AODEoTOeo,5,5.74163582
L?AA@AODEoTOFo,5,5.75544933
L?AA@AODEoTOZG,5,5.75332966
L?AA@AODEoTOJg,5,5.78823541
L?AA@AODEoTOas,5,5.76721585
L?AA@AODEoTOYK,5,5.77483747
L?AA@AODEoDoeo,5,5.74714025
L?AA@AODEoDoFo,5,5.74244720
L?AA@AODEoDoZG,5,5.77073263
L?AA@AODEoDoic,5,5.80604231
L?AA@AODEoDoYK,5,5.76259298
L?AA@AODEoBoZG,5,5.78566853
L?AA@AODEoFoZG,5,5.76842880
L?AA@AODEoFoic,5,5.77809430
L?AA@AODEoFoYK,5,5.74825588
L?AA@AODEoLCm_,5,5.76093480
L?AA@AODEoLCJ_,5,5.80111295
L?AA@AODEoLCN_,5,5.79531102
L?AA@AODEoLCJg,5,5.77608961
L?AA@AODEoLCRW,5,5.79446419
L?AA@AODEoHcN_,5,5.77331399
L?AA@AODEoHcIc,5,5.75943413
