g6,alpha,theta_ub
L?AA@AOeAgFoJg,5,5.80745011
L?AA@AOeAgDCN_,5,5.81319493
L?AA@AOeAgLCAi,5,5.81968510
L?AA@AOeAgLCIi,5,5.81986030
L?AA@AOeAgLCAY,5,5.80708518
L?AA@AOeAgHcIi,5,5.80357416
L?AA@AOeAgDcN_,5,5.81733652
L?AA@AOeAg@SN_,5,5.82028815
L?AA@AOeAgDSN_,5,5.82843643
L?AA@AOeAgDSZG,5,5.82863178
L?AA@AOeAg@sN_,5,5.80971948
L?AA@AOeAg@TN_,5,5.80246230
L?AA@AOeAgDTZG,5,5.81000596
L?AA@AOeBgHcVO,5,5.80491504
L?AA@AOeBgDSN_,5,5.80850110
L?AA@AOeBg@sN_,5,5.81019149
L?AA@AOeAWEoJg,5,5.80670763
L?AA@AOeAWBoJg,5,5.81345378
L?AA@AOeAWFoJg,5,5.81060224
L?AA@AOeBWBoJg,5,5.80987616
L?AA@AOeBWFoJg,5,5.80885111
L?AA@AOe?wHCJg,5,5.80306640
L?AA@AOe?wLCJg,5,5.81735552
L?AA@AOe?wHcJg,5,5.80694717
L?AA@AOeAwEoZG,5,5.80320668
L?AA@AOeAwDcF_,5,5.81090510
L?AA@AOeAwDcN_,5,5.80567798
L?AA@AOeAwLcRW,5,5.80238672
L?AA@BOq@gUOTO,5,5.80595381
L?AA@BOq@gDOAq,5,5.80311350
L?AA@BOq@gFOAi,5,5.82919465
L?AA@BOq@gAgk_,5,5.81095780
L?AA@BOq@gAgAb,5,5.80911877
L?AA@BOq@gIgDs,5,5.80776036
L?AA@BOq@gHgDS,5,5.80774276
L?AA@BOq@gBgDS,5,5.80072881
L?AA@BOq@g@WF_,5,5.81560644
L?AA@BOqBg@kVO,5,5.80375160
L?AA@BOq?wEOBH,5,5.81772100
L?AADBOUQYROBw,5,5.81024436
L?AADBOUOyROBw,5,5.80145164
L?AADAou?ZF_VO,5,5.81165119
L?AAD@o]AwBoBw,5,5.82836846
L?AAD@o]AwBWBw,5,5.80264706
L?AAD@o]AwBwBw,5,5.80281540
L?AAD@o]Aw@sFo,5,5.80140860
L?AAD@o]@wBoBw,5,5.84708340
L?AAD@o]@wBWBw,5,5.80845745
L?AAD@o]@w@sFo,5,5.80300525
L?AAD@o]@w@[Fo,5,5.82679461
L?AAD@o]@w@{Fo,5,5.80869616
L?AAD@o]@sBoBw,5,5.81368794
L?AAD?wUQiTOu?,5,5.81827923
L?AAD?{{BoBoBs,5,5.82405422
L?AAD?{{Bo@wFO,5,5.85346080
L?AAD?{{Bo@wFo,5,5.82622745
L?AA@b_m@wBoBw,5,5.81010664
L?AA@b_mCsBoBw,5,5.81211845
L?AA@b_m@sBoBw,5,5.83738945
L?AA@b_m@s@kFg,5,5.80483513
L?AA@b_m?]Boe_,5,5.80798018
L?AA@bGHbgUOsC,5,5.82169168
L?AA@bGHawDouC,5,5.80903742
L?AA@bGHe_j_N_,5,5.80184608
L?AA@bGHe_do^?,5,5.83005824
L?AA@agwAgBODg,5,5.80043192
L?AA@agwAgBOFC,5,5.80070077
L?AA@agwAgBODc,5,5.84322847
L?AA@agwAgBOFc,5,5.80039942
L?AA@agwAgBOAq,5,5.80955065
L?AA@agwAg@oDc,5,5.80254337
L?AA@agwAg@oaa,5,5.82198580
L?AA@agwAgBoDc,5,5.80960509
L?AA@agwAWBODc,5,5.81203188
L?AA@agwAWBOBc,5,5.80741385
L?AA@agwAWAoFC,5,5.80484472
L?AA@agwAWPWBs,5,5.83048935
L?AA@agwAW@wga,5,5.80419659
L?AA@agw?w@oao,5,5.80257271
L?AA@agw?w@wM_,5,5.81698293
L?AA@agw?sJ_Dc,5,5.80646553
L?AA@agw?sAoao,5,5.82240277
L?AA@agw?sDoBs,5,5.80359375
L?AA@agw?s@wN?,5,5.80513558
L?AA@agw?s@wJ_,5,5.80929373
L?AA@agw?s@wN_,5,5.80012307
L?AA@agw?sAq\?,5,5.83420301
L?AA@agw?sAq^?,5,5.80625079
L?AA@agw?sAqao,5,5.82338176
L?AA@agwCsBoBs,5,5.80092564
L?AA@agwCsBoDk,5,5.81053012
L?AA@agw?{J_Dg,5,5.80045402
L?AA@agw?{J_Dc,5,5.82593329
L?AA@agw?{VODk,5,5.81204593
L?AA@agwCUHgBs,5,5.81494005
L?AA@agRBgXGkC,5,5.81230278
L?AA@agR@wXGkC,5,5.80472823
L?AA@agR@[XGgc,5,5.80991037
L?AA@agR?]\?gc,5,5.80095204
L?AA@agRDC`wqO,5,5.81250522
L?AA@agTKUFOL_,5,5.81307453
L?AA@aH[FOJ_BS,5,5.82504315
L?AA@aH[@w\?Dg,5,5.82484765
