g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?`DE`gl@YJODg,26,4,5.1817366256,1.1817366256,1.2954341564,5.19428728,Solved
L?AAD?oFAgDOAw,19,5,5.8544795024,0.8544795024,1.1708959005,5.86730804,Solved
L?AA@AWs@g@WF_,19,5,5.8496682850,0.8496682850,1.1699336570,5.86531011,Solved
L?AAD?Ws@c@oRO,19,5,5.8395595805,0.8395595805,1.1679119161,5.85278610,Solved
L?AAD?oeAg@WFO,19,5,5.8374077482,0.8374077482,1.1674815496,5.85275599,Solved
L?AAD?oFAgDOBg,19,5,5.8370411807,0.8370411807,1.1674082361,5.85389701,Solved
L?AADAoMAa@oFO,20,5,5.8362028125,0.8362028125,1.1672405625,5.86496356,Solved
L?AADAoYAWBOBo,20,5,5.8346106800,0.8346106800,1.1669221360,5.85615625,Solved
L?AAD?oFAgDOBw,20,5,5.8324053885,0.8324053885,1.1664810777,5.85112145,Solved
L?AAD?Ws@SIgBc,20,5,5.8320087201,0.8320087201,1.1664017440,5.84951007,Solved
L?AAD?Ws@SJ_Bc,20,5,5.8307290194,0.8307290194,1.1661458039,5.85641407,Solved
L?AAD?oFAgPOBg,19,5,5.8270071851,0.8270071851,1.1654014370,5.84639720,Solved
L?AA@agwAgBODc,20,5,5.8267167108,0.8267167108,1.1653433422,5.84322847,Solved
L?AAD?w[?UB_i_,20,5,5.8247089382,0.8247089382,1.1649417876,5.83633228,Solved
L?AADAoFAgDOBg,20,5,5.8241721589,0.8241721589,1.1648344318,5.84182052,Solved
L?AADBOQPoD_Hg,20,5,5.8226332394,0.8226332394,1.1645266479,5.83628730,Solved
L?AAD?oeAg@SFO,19,5,5.8220535131,0.8220535131,1.1644107026,5.83780692,Solved
L?AAD?sXCSBODo,20,5,5.8205835433,0.8205835433,1.1641167087,5.83921421,Solved
L?AAD?w[AgPOBo,20,5,5.8197113836,0.8197113836,1.1639422767,5.83411769,Solved
L?AAD?W[@S@qSQ,20,5,5.8194448400,0.8194448400,1.1638889680,5.83469022,Solved
L?AA@?Ws?[M_ao,19,5,5.8190780506,0.8190780506,1.1638156101,5.84265794,Solved
L?AAD?w[Ag@oIa,20,5,5.8186259583,0.8186259583,1.1637251917,5.84672326,Solved
L?AAD?oFAgPOBw,20,5,5.8181325306,0.8181325306,1.1636265061,5.83410070,Solved
L?AAD?Ws@S@qTQ,21,5,5.8177912565,0.8177912565,1.1635582513,5.83484948,Solved
