g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AA@agwAg@WM_Dc?,24,5,6.0723727785,1.0723727785,1.2144745557,6.09133581,Solved
M?AADAoX?s@YRO]??,25,5,6.0717022217,1.0717022217,1.2143404443,6.11254563,Solved
M?AAD?sX?s\?Doac?,25,5,6.0709667936,1.0709667936,1.2141933587,6.10510009,Solved
M?AA@agwAgBOaoDc?,24,5,6.0647826564,1.0647826564,1.2129565313,6.08220029,Solved
M?AADBOF@SV?TOAw?,25,5,6.0638706105,1.0638706105,1.2127741221,6.10489215,Solved
M?AAD@oTDSFOFOAw?,26,5,6.0635785425,1.0635785425,1.2127157085,6.11996463,Solved
M?AA@AWT@SYGN?as?,25,5,6.0626884767,1.0626884767,1.2125376953,6.09512289,Solved
M?AA@BOT@o@WeOJg?,24,5,6.0617677103,1.0617677103,1.2123535421,6.07598264,Solved
M?AA@AWT@SPWN?sQ?,25,5,6.0606890058,1.0606890058,1.2121378012,6.09244918,Solved
M?AA@aHw?sK`Dgm??,25,5,6.0587873384,1.0587873384,1.2117574677,6.07616389,Solved
M?AA@BOT@SRGN?as?,25,5,6.0583086353,1.0583086353,1.2116617271,6.07629321,Solved
M?AAD@oIagROFOAw?,25,5,6.0582295776,1.0582295776,1.2116459155,6.07364381,Solved
M?AADBOF@SV?BoTQ?,26,5,6.0566253866,1.0566253866,1.2113250773,6.11134286,Solved
M?AADBOF@SV?TOBw?,26,5,6.0565907365,1.0565907365,1.2113181473,6.11930755,Solved
M?AADBOIdo@sV?VO?,27,5,6.0565808345,1.0565808345,1.2113161669,6.08766550,Solved
M?AA@agw?sAq\?ao_,26,5,6.0565808341,1.0565808341,1.2113161668,6.09356175,Solved
M?AADAoX?s@YRO^??,26,5,6.0565808332,1.0565808332,1.2113161666,6.09256084,Solved
M?AADAoX?s@YN?RW?,26,5,6.0565808309,1.0565808309,1.2113161662,6.09367692,Solved
M?AA@BOJ?uQW]?Bw?,26,5,6.0565808307,1.0565808307,1.2113161661,6.07773556,Solved
M?AEB?cuBoBWF_eW?,28,5,6.0565808306,1.0565808306,1.2113161661,6.06613634,Solved
M?AADBOIdo@sTOVO?,27,5,6.0565808304,1.0565808304,1.2113161661,6.08638648,Solved
M?AAD@oTCsTOFOAw?,26,5,6.0565808303,1.0565808303,1.2113161661,6.08204682,Solved
M?AADBOIdo@sUOVO?,27,5,6.0565808291,1.0565808291,1.2113161658,6.08331707,Solved
M?AAD?sX?sPQy?Do_,26,5,6.0565808290,1.0565808290,1.2113161658,6.09138018,Solved
M?AADBOX?sF_Bocc?,25,5,6.0542511423,1.0542511423,1.2108502285,6.06428341,Solved
M?AAD@WH`w]?BoQS?,26,5,6.0532712457,1.0532712457,1.2106542491,6.08821694,Solved
M?AA@AWT@S@YN?sQ?,25,5,6.0469340833,1.0469340833,1.2093868167,6.06058513,Solved
M?AAD@oX?sF_ccBw?,26,5,6.0455469439,1.0455469439,1.2091093888,6.08464072,Solved
M?AAD?sX?sUOUOAs?,25,5,6.0454402485,1.0454402485,1.2090880497,6.06217952,Solved
M?AAD@WH`s]?BoQS?,26,5,6.0453114644,1.0453114644,1.2090622929,6.07636267,Solved
M?AA@AWT@SF_assQ?,26,5,6.0452946358,1.0452946358,1.2090589272,6.07091338,Solved
M?AAF@cEf_F_Bocg?,27,5,6.0441621945,1.0441621945,1.2088324389,6.09951246,Solved
M?AAD?cUDcM_QWeg?,26,5,6.0408951129,1.0408951129,1.2081790226,6.05734594,Solved
M?AAD?sX?sUOAsVO?,26,5,6.0395130858,1.0395130858,1.2079026172,6.07412526,Solved
M?AA@BOTDoBgAwic?,26,5,6.0394220588,1.0394220588,1.2078844118,6.05171543,Solved
M?AADBOF@SV?BwTQ?,27,5,6.0377187054,1.0377187054,1.2075437411,6.09710492,Solved
M?AEB?WHHw]?BoeO?,26,5,6.0370252981,1.0370252981,1.2074050596,6.05674061,Solved
M?AA@agTDCxG]?L`?,27,5,6.0370252870,1.0370252870,1.2074050574,6.07049067,Solved
M?AADBOIdo@sV?TS?,27,5,6.0370252856,1.0370252856,1.2074050571,6.08978976,Solved
M?AEB?cuBgBoaWFo?,28,5,6.0370252851,1.0370252851,1.2074050570,6.06531297,Solved
M?AA@BOJ?uN?Bwcs?,27,5,6.0370252847,1.0370252847,1.2074050569,6.05253346,Solved
M?AAD@WHe_hgN?k`?,27,5,6.0370252842,1.0370252842,1.2074050568,6.07381771,Solved
M?AAD@WHe_hgJ_m_?,27,5,6.0370252833,1.0370252833,1.2074050567,6.06373462,Solved
M?AEB?cuBoBWN_eW?,29,5,6.0370252829,1.0370252829,1.2074050566,6.04704290,Solved
M?AAD@WHe_hgk_N_?,27,5,6.0370252825,1.0370252825,1.2074050565,6.06170331,Solved
M?AEB?cm@kBWaW}??,28,5,6.0370252821,1.0370252821,1.2074050564,6.06769869,Solved
M?AEB?cuBg@waWFo?,28,5,6.0370252819,1.0370252819,1.2074050564,6.06249138,Solved
M?AEB?WHHw]?BoeS?,27,5,6.0370252816,1.0370252816,1.2074050563,6.06813427,Solved
M?AAD?oU?kTOqGTO?,24,5,6.0258584217,1.0258584217,1.2051716843,6.05203759,Solved
M?AAD?s[?s@[ROk_?,25,5,6.0256148167,1.0256148167,1.2051229633,6.05067389,Solved
M?AAD?oq?UI_FOi`?,24,5,6.0254608654,1.0254608654,1.2050921731,6.04405875,Solved
M?AEB?W[@wCseOBo?,26,5,6.0253175972,1.0253175972,1.2050635194,6.04987610,Solved
M?AA@AWT@c@WFO{@?,24,5,6.0252784731,1.0252784731,1.2050556946,6.04858982,Solved
M?AA@AWT@SBg{?Bo_,25,5,6.0252769877,1.0252769877,1.2050553975,6.05195780,Solved
M?AA@BOJDcFOUORQ?,26,5,6.0252756402,1.0252756402,1.2050551280,6.05761400,Solved
M?AAD?Ws@S@qZ?TQ?,25,5,6.0235338805,1.0235338805,1.2047067761,6.06028833,Solved
M?AAD?oU?kIgi_qI?,25,5,6.0222131860,1.0222131860,1.2044426372,6.05129294,Solved
M?AA@AWT@[F_sOas?,26,5,6.0222087113,1.0222087113,1.2044417423,6.05343895,Solved
M?AA@AWU@gPWROk__,25,5,6.0214450118,1.0214450118,1.2042890024,6.04729957,Solved
M?AA@AWTDS]?FOBp?,26,5,6.0213986502,1.0213986502,1.2042797300,6.05901074,Solved
M?AA@AWUBgUOROaq?,26,5,6.0178387607,1.0178387607,1.2035677521,6.04974795,Solved
